continent,variable,00s_mean,00s_min,00s_max,00s_q25,00s_q75,10s_mean,10s_min,10s_max,10s_q25,10s_q75
North America,place_type_region,0.2353246929258324,-0.08305133364933028,0.3824620334237987,0.15063847917839818,0.31759785914322125,0.3263057407618336,0.17550937197805036,0.4257006061353901,0.29234074545871025,0.35598851434752554
North America,place_type_urban,0.0482159729324543,-0.22608111184963783,0.19296691868563287,-0.031547592756658895,0.12744989483086744,0.12432897944492816,-0.0610631012379459,0.31322553292925304,0.0646309588499974,0.16980858842277022
North America,temp_range,0.029399007506876712,-0.05722885620564128,0.11655919401911395,-0.00261167571444704,0.05912173742731204,-0.02774803343308646,-0.13396230095137443,0.15437013307322647,-0.06029274013790806,-0.0010369694466025457
Oceania,avg_temp,0.017938767155895003,-0.3116400073084561,0.10771268622667148,-0.030280911035528827,0.07457237032951165,-0.15368231287904396,-0.25452826655814026,0.12481413147921325,-0.18109122584842652,-0.13815688307950375
Oceania,intercept,0.21555627685704787,0.09475258941565218,0.8680558525863777,0.18290342965873652,0.22900933508267457,0.44741019358744893,0.32432435326711095,0.8398525350194793,0.40876490119472614,0.4783059758876316
Oceania,log_elev,0.023087750666225402,-0.009440150445222898,0.03246561708855463,0.021140203888155448,0.026054817448985548,-0.0025873865130819846,-0.03010548409224369,0.12052483388351395,-0.023072313705927047,0.008748911125752046
Oceania,log_pop,-0.0728109890854711,-0.403746878895379,-0.042525201297839245,-0.0808070655084131,-0.054911515971513,-0.16704580333135935,-0.3273318064909262,-0.12074579754920786,-0.17930931467861386,-0.1519121369062112
Oceania,log_prec,0.13832587503177293,0.007184456906357546,0.18498358183046354,0.12541619222444045,0.15362748132683282,0.06288446207401104,-0.04611868255472488,0.1296204495465593,0.05297068308697617,0.07068299425405297
Oceania,log_remote,-0.0058994135827491155,-0.07830649407341286,0.06204147761039642,-0.035117665589807806,0.023444230332477542,0.03867102910396481,-0.1186785989534159,0.09242176558359023,0.023705572461153616,0.061323555610990316
Oceania,place_type_natural_location,-0.25775213376796435,-0.3437244767794088,0.05941733941277462,-0.3051244544272761,-0.21869993106087865,0.031018375382035505,-0.027077422553224165,0.6960328550515261,-0.0035387558896713906,0.03167616970706155
Oceania,place_type_region,0.46341540589928193,-0.11073697249620779,0.5519676154671556,0.4433112039691203,0.5049461125030175,0.14241820734905275,-0.10951418100433964,0.5163976033778458,0.07471055802675991,0.1909940987818084
Oceania,place_type_urban,-0.2792231497691685,-0.5379887860939824,0.15524402743283391,-0.3794653415563676,-0.17892113217043348,-0.07469204598561678,-0.3514362863727096,0.19889224044376538,-0.12684562829615015,-0.02081171215225299
Oceania,temp_range,-0.0012577977546937194,-0.11306102490011127,0.07661902983896139,-0.028494266721885333,0.024195999625764027,-0.19673573374576667,-0.22736092016269205,0.07158151319035254,-0.21915712887133698,-0.18552300241686054
Seven seas (open ocean),avg_temp,-0.05250368098881564,-0.07248255163183703,-0.029906492970074642,-0.05635013083044608,-0.050003553769487,-0.06274173107916572,-0.08820583050188732,-0.006609476624928166,-0.08448036331403656,-0.0452732210358717
Seven seas (open ocean),intercept,0.04839113480413667,-0.06371916699211864,0.45437443702485175,0.02482812266923669,0.06519640887127562,0.35848460776732055,0.24310009475843458,0.6635334442917156,0.26732886004223605,0.3867936655360707
Seven seas (open ocean),log_elev,0.02609382382183546,-0.009417154885814249,0.03379249060009652,0.025793544039087048,0.026421814764203504,0.03879254799635369,0.022283282211591038,0.07627785584000403,0.023583479798217035,0.05794881579771226
Seven seas (open ocean),log_pop,-0.06936371742910016,-0.2342635366380995,-0.02601556375401739,-0.0778708550513606,-0.057002836101081464,0.05714647038861176,-0.09105044890422814,0.08016400750278814,0.05876238779928895,0.07657128898950787
Seven seas (open ocean),log_prec,0.02154148261573518,-0.007449168198261973,0.06928536539786741,0.0071018152739501855,0.029325356023721903,0.09088611202423204,-4.743186501077972e-4,0.11231061283982294,0.08962626839862335,0.09353466255929789
Seven seas (open ocean),log_remote,0.020800395991473444,0.012897128098892192,0.037543312982986764,0.014083733239988582,0.025059918781170885,0.03083065518461625,0.012857351026982124,0.06604638413334031,0.014207327991428306,0.05182169816104508
Seven seas (open ocean),place_type_natural_location,0.25683719189737775,0.07120471805201,0.40840617772202514,0.1936719091110758,0.35619347191834294,-0.02273339315087756,-0.300710630788218,0.14134494054712457,-0.1262302939458327,0.08996855773112387
Seven seas (open ocean),place_type_region,0.2169490372194607,-0.054698460054501775,0.2557218669538684,0.20187470432553326,0.24361468486439294,-0.07972917842571497,-0.3171561369160115,0.01859955387391378,-0.12543638060066464,-0.0017905632196742343
Seven seas (open ocean),place_type_urban,-0.07190625535461975,-0.42639929526444986,0.011429385231187715,-0.07540585956490727,-0.06281879577972964,-0.42721683192495497,-0.528939870273099,-0.2462802622536021,-0.45765925557099074,-0.39903734277870706
Seven seas (open ocean),temp_range,0.01473684989512064,-0.1340865435353936,0.07254850173987705,-0.03862570143939336,0.06533941991514122,-0.1650722802335366,-0.2927857788725058,-0.11663470210643193,-0.2025431151094897,-0.11977368500143126
South America,avg_temp,-0.03628883479539569,-0.13300959425181996,0.05455647427848023,-0.07336858588429929,-5.464270704038064e-4,-0.16802664616747906,-0.218478010447725,0.12318319229937806,-0.2077332134631357,-0.1614039994212314
South America,intercept,0.3077318582145133,-0.08190530893058912,0.6164512174850515,0.24078657050768676,0.39402011517920593,0.4693793185082056,0.3065231009733162,0.5459988976754709,0.44733627078986815,0.5065512437104783
South America,log_elev,0.044792608051259904,0.0018324496344205453,0.18391998934702292,0.015534615937888983,0.06300393191420026,0.03316701492990325,0.013589815008589924,0.0877201300198619,0.024631669328441703,0.03983868777870999
South America,log_pop,-0.23477778762331233,-0.27089437682625706,-0.13962881489705203,-0.24487699019683334,-0.23404041920351448,-0.27835151359687565,-0.32564953611372466,-0.22853254310756665,-0.28933859829074177,-0.2673524417878924
South America,log_prec,0.05720494966981329,0.010595436510155584,0.1074940802955853,0.029093261774991237,0.08404142783765985,0.024655170502991847,-0.020419445365063404,0.05143632271984079,0.017887774834646902,0.03604393927333106
South America,log_remote,-0.02368900679515057,-0.07634842627874941,0.030191208076362337,-0.05390507731632777,0.003560736094927683,-0.019546642856483703,-0.054901127567984646,0.03324739174032786,-0.036914864899095075,-0.003595819799279561
South America,place_type_natural_location,0.15527740734670648,-0.20565652498767467,0.2730820001181661,0.11275920419454673,0.21601551303120542,0.12675909052962642,-0.05544069739405827,0.2201306505363961,0.07494003305536324,0.18114163577405978
South America,place_type_region,0.19808647419047132,-0.032981693373776134,0.39737826497033657,0.11733682360535905,0.2805165525062703,0.2023064339402908,0.11461805868033548,0.406062549182529,0.16917303739097148,0.21482952188406276
South America,place_type_urban,-0.1747909528724136,-0.45505695500806365,-0.014340502247618143,-0.23599715945272776,-0.0993633565885324,-0.08805886198535055,-0.18430932031924133,0.006735403064225507,-0.1240909341842667,-0.0473718693709745
South America,temp_range,-0.04935649578952206,-0.337050826149083,0.07687736782136018,-0.07272312604146192,-0.005601279699165622,-0.16117337227035866,-0.21814005087892654,-0.10566599350917069,-0.17129648265838415,-0.15241771117816738
